Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
274.0,1588982400,4.0,-5.0,5.0,5.0,2.0,2.0,-0.005102040816326481,10.0,Low/Minimal,0
274.0,1589241600,3.0,-5.0,5.0,5.0,2.0,2.0,0.0034129692832765013,15.0,Low/Minimal,0
274.0,1577318400,4.0,-6.0,4.0,1.0,1.0,0.0,0.012499999999999956,12.0,Low/Minimal,0
275.0,1575417600,4.0,-5.0,3.0,6.0,2.83,1.9,0.0017421602787457413,6.0,Low/Minimal,0
274.0,1586649600,3.0,-5.0,5.0,3.0,1.0,2.0,0.013864818024263537,19.0,Low/Minimal,0
275.0,1576368000,4.0,-6.0,4.0,2.0,3.06,3.67,0.0,0.0,Low/Minimal,0
275.0,1577145600,4.0,-6.0,4.0,1.0,0.0,1.0,-0.005291005291005346,-6.0,Low/Minimal,0
274.0,1578441600,3.0,-5.5,3.0,5.0,2.44,1.89,-0.0035460992907800915,19.0,Low/Minimal,0
274.0,1588464000,3.0,-4.0,5.0,4.0,1.0,2.0,-0.005119453924914641,12.0,Low/Minimal,0
269.0,1584489600,6.0,-5.0,6.0,5.0,2.0,2.0,-0.008333333333333304,0.0,Low/Minimal,0
274.0,1585872000,5.0,-4.5,5.0,5.0,2.0,2.0,0.005181347150259086,18.0,Low/Minimal,0
275.0,1576195200,4.0,-5.0,3.0,2.0,2.91,2.0,0.0017391304347826875,6.0,Low/Minimal,0
274.0,1584835200,4.0,-5.0,5.0,3.0,2.0,2.0,-0.0068259385665528916,9.0,Low/Minimal,0
274.0,1587772800,4.0,-5.0,5.0,1.0,0.0,2.0,0.00521739130434784,0.0,Low/Minimal,0
275.0,1578787200,4.0,-8.0,3.0,1.0,0.0,1.89,0.0,-30.0,Low/Minimal,0
275.0,1579651200,6.0,-8.0,3.0,1.0,0.0,0.0,0.0,6.0,Low/Minimal,0
275.0,1578626743,3.1428668179219406,-5.142866817921941,3.0,7.0,2.147139954623418,1.932860045376582,0.0060574783185729,-1.7144018150632894,Low/Minimal,0
274.0,1576972800,5.0,-6.0,4.0,1.0,0.0,1.0,-0.0018115942028985588,4.0,Low/Minimal,0
275.0,1578700800,4.0,-6.0,3.0,7.0,1.89,2.19,0.0,-12.0,Low/Minimal,0
269.0,1573516800,6.0,-6.0,5.0,6.0,2.07,1.33,0.0,0.0,Low/Minimal,0
275.0,1576454400,4.0,-6.0,3.0,3.0,2.35,3.06,-0.01903114186851207,6.0,Low/Minimal,0
274.0,1589068800,3.0,-3.5,5.0,1.0,0.0,2.0,0.006837606837606813,14.0,Low/Minimal,0
274.0,1587168000,3.0,-4.5,4.0,4.0,1.0,2.0,-0.0034602076124568004,10.0,Low/Minimal,0
275.0,1576886400,3.0,-6.0,3.0,1.0,0.0,1.94,-0.008802816901408494,-12.0,Low/Minimal,0
274.0,1588636800,4.0,-4.5,5.0,4.0,2.0,2.0,-0.0017152658662092923,20.0,Low/Minimal,0
274.0,1584921600,3.0,-5.0,5.0,4.0,2.0,2.0,0.010309278350515427,31.0,Low/Minimal,0
274.0,1585180800,3.0,-5.5,5.0,4.0,2.0,2.0,0.0,29.0,Low/Minimal,0
274.0,1586476934,3.999221234158986,-5.999221234158986,5.0,4.998442468317972,1.9992212341589857,2.0,1.0797446669176212e-05,7.009345190092172,Low/Minimal,0
275.0,1577404800,4.0,-6.0,3.0,3.0,1.0,0.0,0.0,-6.0,Low/Minimal,0
275.0,1580428800,6.0,-5.0,3.0,5.0,2.85,2.23,-0.005328596802841923,-6.0,Low/Minimal,0
274.0,1586476800,4.0,-6.0,5.0,5.0,2.0,2.0,0.0,7.0,Low/Minimal,0
275.0,1577577600,3.0,-6.0,3.0,1.0,0.0,0.0,0.0,-6.0,Low/Minimal,0
274.0,1586217600,4.0,-6.0,7.0,5.0,2.0,2.0,0.0034364261168384758,9.0,Low/Minimal,0
275.0,1580083200,5.0,-4.5,3.0,2.0,1.0,0.0,0.005357142857142838,-6.0,Low/Minimal,0
275.0,1575590400,3.0,-6.0,4.0,1.0,0.0,1.53,0.0,6.0,Low/Minimal,0
275.0,1575387436,4.0,-5.0,3.0,6.0,2.505326279842433,1.7952665418846558,0.003583857496455477,8.094669162306882,Low/Minimal,0
274.0,1587081600,4.0,-5.5,5.0,4.0,2.0,2.0,-0.013651877133105783,6.0,Low/Minimal,0
275.0,1575158400,3.0,-7.5,3.0,1.0,0.0,1.5,0.006896551724137945,-6.0,Low/Minimal,0
275.0,1579653642,6.0,-7.992933694780283,3.0,1.0,0.0,0.007066305219717406,0.0,5.915204337363392,Low/Minimal,0
274.0,1577836800,5.0,-5.0,4.0,1.0,0.0,0.0,0.0,16.0,Low/Minimal,0
274.0,1587427200,4.0,-5.0,5.0,5.0,2.0,2.0,0.0017271157167531026,17.0,Low/Minimal,0
274.0,1586563200,4.0,-5.0,6.0,3.0,2.0,2.0,-0.011986301369863006,15.0,Low/Minimal,0
275.0,1576800000,4.0,-5.0,3.0,5.0,1.94,1.94,0.0,-12.0,Low/Minimal,0
274.0,1586908800,4.0,-4.5,4.0,4.0,2.0,2.0,0.0,7.0,Low/Minimal,0
275.0,1580515200,6.0,-4.0,3.0,3.0,2.64,2.85,0.005357142857142838,0.0,Low/Minimal,0
275.0,1578268800,4.0,-5.0,3.0,4.0,1.54,0.0,0.0035714285714285587,-6.0,Low/Minimal,0
274.0,1577404800,5.0,-5.0,4.0,4.0,1.0,1.0,-0.007054673721340388,7.0,Low/Minimal,0
275.0,1579046400,4.0,-4.0,3.0,6.0,2.05,2.36,0.0,-18.0,Low/Minimal,0
275.0,1576713600,3.0,-7.0,3.0,6.0,1.94,1.87,0.01610017889087656,-6.0,Low/Minimal,0
274.0,1588377600,3.0,-4.0,5.0,4.0,2.0,2.0,0.012089810017271052,8.0,Low/Minimal,0
274.0,1589500800,4.0,-3.0,5.0,4.0,2.0,2.0,0.003424657534246478,4.0,Low/Minimal,0
274.0,1587686400,3.0,-4.0,5.0,5.0,2.0,2.0,-0.008620689655172376,-1.0,Low/Minimal,0
274.0,1585440000,4.0,-5.5,5.0,1.0,2.0,2.0,0.013722126929674117,15.0,Low/Minimal,0
275.0,1576540800,3.0,-7.0,3.0,6.0,2.2,2.35,-0.0017636684303351524,-6.0,Low/Minimal,0
274.0,1587513600,2.0,-5.0,5.0,4.0,2.0,2.0,0.0,20.0,Low/Minimal,0
274.93855270901577,1577318400,3.06144729098425,-6.0,3.06144729098425,1.0,0.061447290984249836,0.0,0.0024233869203996294,-4.893948762283504,Low/Minimal,0
274.0,1577577600,4.0,-6.0,4.0,1.0,0.0,1.0,0.0,10.0,Low/Minimal,0
274.0,1588896000,3.0,-5.0,5.0,4.0,2.0,2.0,-0.003389830508474523,11.0,Low/Minimal,0
275.0,1577059200,3.0,-6.0,3.0,3.0,1.0,0.0,-0.0017605633802817433,-6.0,Low/Minimal,0
275.0,1576627200,4.0,-5.0,3.0,6.0,1.87,2.2,-0.012367491166077715,-12.0,Low/Minimal,0
275.0,1578096000,4.0,-5.0,3.0,2.0,1.16,1.56,0.0,-6.0,Low/Minimal,0
274.0,1586736000,5.0,-4.0,5.0,5.0,2.0,1.0,-0.0034188034188034067,-2.0,Low/Minimal,0
274.0,1585958400,5.0,-5.0,5.0,5.0,2.0,2.0,0.0,8.0,Low/Minimal,0
275.0,1579996800,6.0,-7.0,3.0,1.0,0.0,1.0,0.0,-6.0,Low/Minimal,0
269.0,1571529600,6.0,-6.0,5.0,1.0,0.0,1.78,0.0,0.0,Low/Minimal,0
274.0,1577750400,3.0,-5.0,4.0,1.0,0.0,1.41,0.0,14.0,Low/Minimal,0
274.0,1585008000,4.0,-3.5,5.0,3.0,2.0,2.0,-0.010204081632653073,28.0,Low/Minimal,0
