SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-6.0,1.0,0.0,1.0,-6.0,Low/Minimal
-5.5,5.0,2.44,1.89,19.0,Low/Minimal
-6.0,1.0,1.0,0.0,12.0,Low/Minimal
-5.0,2.0,1.16,1.56,-6.0,Low/Minimal
-5.0,2.0,2.91,2.0,6.0,Low/Minimal
-5.0,6.0,1.87,2.2,-12.0,Low/Minimal
-5.5,4.0,2.0,2.0,6.0,Low/Minimal
-3.5,1.0,0.0,2.0,14.0,Low/Minimal
-7.0,1.0,0.0,1.0,-6.0,Low/Minimal
-5.0,3.0,2.0,2.0,9.0,Low/Minimal
-6.0,1.0,0.0,0.0,24.0,Low/Minimal
-6.0,7.0,1.41,0.0,12.0,Low/Minimal
-6.0,1.0,0.0,1.0,4.0,Low/Minimal
-7.5,1.0,0.0,1.41,6.0,Low/Minimal
-4.5,5.0,2.0,2.0,18.0,Low/Minimal
-5.0,5.0,1.94,1.94,-12.0,Low/Minimal
-6.0,1.0,0.0,1.53,6.0,Low/Minimal
-6.0,3.0,1.0,0.0,-6.0,Low/Minimal
-5.0,2.0,2.0,1.0,0.0,Low/Minimal
-4.5,4.0,2.0,2.0,20.0,Low/Minimal
-5.0,4.0,2.0,2.0,31.0,Low/Minimal
-5.0,1.0,0.0,2.0,0.0,Low/Minimal
-6.0,2.0,3.06,3.67,0.0,Low/Minimal
-5.0,3.0,1.0,2.0,19.0,Low/Minimal
-6.0,5.0,2.0,2.0,9.0,Low/Minimal
-4.5,4.0,1.0,2.0,10.0,Low/Minimal
-5.0,5.0,2.0,2.0,15.0,Low/Minimal
-6.0,1.0,0.0,1.78,0.0,Low/Minimal
-5.5,4.0,2.0,2.0,29.0,Low/Minimal
-5.0,5.0,2.0,2.0,10.0,Low/Minimal
-6.0,7.0,1.89,2.19,-12.0,Low/Minimal
-8.0,1.0,0.0,1.89,-30.0,Low/Minimal
-5.0,1.0,0.0,0.0,16.0,Low/Minimal
-5.0,5.0,2.0,2.0,17.0,Low/Minimal
-5.0,6.0,2.83,1.9,6.0,Low/Minimal
-2.0,1.0,1.33,2.58,0.0,Low/Minimal
-4.5,4.0,2.0,2.0,7.0,Low/Minimal
-4.0,4.0,1.0,2.0,12.0,Low/Minimal
-5.0,4.0,1.0,1.0,7.0,Low/Minimal
-7.5,1.0,0.0,1.5,-6.0,Low/Minimal
-5.0,5.0,2.0,2.0,0.0,Low/Minimal
-4.0,4.0,2.0,2.0,8.0,Low/Minimal
-4.0,5.0,2.0,2.0,-1.0,Low/Minimal
-5.5,1.0,2.0,2.0,15.0,Low/Minimal
-6.0,1.0,0.0,0.0,-6.0,Low/Minimal
-5.0,4.0,2.0,2.0,20.0,Low/Minimal
-7.0,6.0,2.2,2.35,-6.0,Low/Minimal
-6.0,1.0,0.0,1.0,10.0,Low/Minimal
-5.0,4.0,2.0,2.0,11.0,Low/Minimal
-6.0,3.0,2.35,3.06,6.0,Low/Minimal
-6.0,3.0,1.0,0.0,-6.0,Low/Minimal
-4.0,5.0,2.0,1.0,-2.0,Low/Minimal
-5.0,5.0,2.0,2.0,8.0,Low/Minimal
-4.0,6.0,2.05,2.36,-18.0,Low/Minimal
-4.0,1.0,0.0,2.4,0.0,Low/Minimal
-5.0,3.0,2.0,2.0,15.0,Low/Minimal
-7.0,6.0,1.94,1.87,-6.0,Low/Minimal
-3.0,4.0,2.0,2.0,4.0,Low/Minimal
-3.5,3.0,2.0,2.0,28.0,Low/Minimal
-6.0,5.0,2.0,2.0,7.0,Low/Minimal
-5.0,1.0,0.0,0.0,12.0,Low/Minimal
-5.5,5.0,2.0,2.0,30.0,Low/Minimal
-4.5,6.0,2.0,2.0,5.0,Low/Minimal
-5.0,1.0,0.0,1.41,14.0,Low/Minimal
-7.0,1.0,0.0,1.16,-12.0,Low/Minimal
-5.0,4.0,1.0,1.0,17.0,Low/Minimal
-6.0,1.0,0.0,1.94,-12.0,Low/Minimal
-6.0,2.0,1.0,0.0,0.0,Low/Minimal
-1.0,5.0,1.78,2.18,0.0,Low/Minimal
-5.0,6.0,1.9,1.6,12.0,Low/Minimal
-3.7,5.0,2.0,2.0,14.0,Low/Minimal
-6.0,1.0,0.0,1.0,-6.0,Low/Minimal
-5.0,5.0,2.0,0.0,19.0,Low/Minimal
-5.0,5.0,2.85,2.23,-6.0,Low/Minimal
-6.0,2.0,2.0,2.79,6.0,Low/Minimal
-6.0,6.0,2.07,1.33,0.0,Low/Minimal
-5.0,4.0,1.54,0.0,-6.0,Low/Minimal
-4.5,4.0,2.0,1.0,17.0,Low/Minimal
-7.0,1.0,0.0,0.0,-6.0,Low/Minimal
-4.5,5.0,2.0,2.0,3.0,Low/Minimal
-7.0,1.0,0.0,0.0,0.0,Low/Minimal
-7.0,1.0,0.0,0.0,-24.0,Low/Minimal
-6.0,1.0,0.0,0.0,-6.0,Low/Minimal
-4.5,4.0,2.0,0.0,21.0,Low/Minimal
-4.5,5.0,1.42,1.93,-6.0,Low/Minimal
