Appetite,pEffort,Sex_F,SleepInd,SleepInd(-1),SleepInd(-2),uaI,uaI(-1),uaI(-2),pEffort(-1),pEffort(-2),Appetite(-1),Appetite(-2),FatigInd
5.0,4.0,1,-4.5,-5.0,-8.0,2.18,2.3,0.0,4.0,1.0,6.0,5.0,Optimal
6.0,1.0,1,-6.529999999999999,-6.0,-6.0,2.0,2.0,2.0,5.0,6.0,6.0,6.0,Optimal
5.0,1.0,0,-4.0,-3.5,-5.0,0.0,0.0,3.0,1.0,1.0,6.0,6.0,Optimal
6.0,4.0,1,-6.0,-6.0,-6.0,2.21,2.69,2.51,5.0,6.0,6.0,6.0,Optimal
6.0,7.0,1,-5.5,-5.0,-6.0,1.74,2.03,1.8,7.0,8.0,6.0,6.0,Optimal
5.0,4.0,1,-6.0,-7.0,-8.0,1.94,1.94,1.87,5.0,4.0,5.0,5.0,Optimal
4.0,5.0,0,-7.0,-7.0,-6.0,1.94,1.87,2.2,6.0,5.0,4.0,4.0,Optimal
5.0,5.0,1,-6.0,-5.5,-5.0,2.31,2.45,2.08,5.0,6.0,5.0,5.0,Optimal
6.0,6.0,1,-5.0,-6.0,-6.0,1.86,2.07,2.33,5.0,6.0,6.0,6.0,Optimal
4.0,7.0,0,-4.0,-3.0,-2.8,2.42,2.18,2.3,6.0,5.0,3.0,4.0,Optimal
6.0,6.0,1,-4.0,-5.0,-6.0,3.29,3.29,1.53,5.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-4.0,-7.0,-5.5,1.72,2.45,1.74,5.0,7.0,6.0,6.0,Optimal
5.0,1.0,1,-4.0,-7.0,-6.0,0.0,1.0,1.94,3.0,4.0,5.0,5.0,Optimal
4.0,7.0,0,-4.0,-4.0,-4.0,2.59,2.05,2.36,6.0,7.0,4.0,3.0,Optimal
6.0,3.0,1,-7.0,-8.0,-6.0,1.0,2.0,2.0,5.0,6.0,6.0,6.0,Optimal
6.0,5.0,0,-6.0,-5.0,-5.0,1.41,0.0,0.0,1.0,1.0,5.0,3.0,Optimal
6.0,5.0,1,-6.0,-6.0,-6.5,2.08,1.82,2.51,4.0,5.0,6.0,6.0,Optimal
6.0,9.0,1,-1.0,-4.0,-4.5,2.6,2.94,2.12,7.0,5.0,6.0,6.0,Optimal
4.0,7.0,0,-4.3,-5.0,-3.0,2.11,2.42,2.18,7.0,6.0,4.0,4.0,Optimal
6.0,6.0,1,-4.5,-5.0,-3.5,1.94,1.75,2.37,7.0,8.0,6.0,6.0,Optimal
6.0,1.0,1,-5.0,-6.0,-5.0,0.0,1.92,1.86,8.0,6.0,6.0,6.0,Optimal
6.0,3.0,1,-4.0,-5.0,-6.0,2.36,2.81,2.69,4.0,6.0,6.0,6.0,Optimal
6.0,6.0,1,-3.0,-4.0,-3.0,2.0,2.0,2.0,6.0,2.0,6.0,6.0,Optimal
6.0,5.0,1,-3.5,-6.0,-6.0,2.18,2.08,1.82,5.0,4.0,6.0,6.0,Optimal
6.0,1.0,1,-6.0,-4.0,-5.5,0.0,2.54,2.28,8.0,9.0,6.0,6.0,Optimal
6.0,4.0,1,-9.0,-7.0,-7.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,Optimal
6.0,1.0,1,-5.0,-6.0,-5.0,0.0,2.29,2.1,4.0,2.0,6.0,6.0,Optimal
4.0,4.0,0,-3.0,-3.0,-4.0,2.47,2.24,2.37,4.0,3.0,5.0,5.0,Optimal
5.0,5.0,1,-6.0,-4.5,-5.0,2.42,2.18,2.3,4.0,4.0,5.0,6.0,Optimal
6.0,5.0,1,-3.5,-4.5,-4.5,1.69,2.02,2.19,5.0,5.0,6.0,6.0,Optimal
3.0,6.0,0,-2.0,-4.0,-4.5,2.36,2.33,0.0,6.0,3.0,5.0,4.0,Optimal
5.0,6.0,0,-5.0,-2.5,-3.0,1.76,1.79,1.96,5.0,2.0,4.0,4.0,Optimal
6.0,7.0,1,-3.5,-5.0,-5.0,1.0,2.0,2.0,6.0,7.0,6.0,6.0,Optimal
6.0,6.0,1,-5.0,-3.0,-3.0,3.2,3.61,2.2,5.0,4.0,6.0,6.0,Optimal
6.0,5.0,1,-5.5,-3.0,-3.8,2.21,1.32,2.47,5.0,6.0,6.0,6.0,Optimal
5.0,7.0,0,-4.0,-4.5,-2.0,2.59,2.05,2.36,6.0,6.0,4.0,3.0,Optimal
7.0,5.0,1,-3.5,-3.0,-3.0,1.33,2.05,2.21,6.0,6.0,6.0,6.0,Optimal
6.0,2.0,1,-7.0,-6.0,-6.0,2.92,3.29,3.29,2.0,2.0,5.0,6.0,Optimal
6.0,2.0,1,-5.5,-6.0,-6.0,2.0,2.0,0.0,2.0,1.0,6.0,6.0,Optimal
5.0,4.0,1,-4.5,-6.0,-5.0,2.0,2.0,0.0,4.0,1.0,5.0,6.0,Optimal
6.0,5.0,1,-8.0,-7.0,-8.0,2.0,0.0,2.0,1.0,3.0,6.0,6.0,Optimal
4.0,1.0,0,-5.0,-3.5,-3.5,1.0,2.0,2.0,5.0,4.0,5.0,5.0,Optimal
6.0,7.0,1,-5.5,-4.0,-5.0,2.02,2.22,1.72,8.0,5.0,6.0,6.0,Optimal
5.0,5.0,0,-4.0,-4.0,-5.0,1.6,0.0,1.5,1.0,5.0,4.0,5.0,Optimal
6.0,7.0,0,-3.0,0.0,-1.0,2.08,0.0,1.47,1.0,6.0,5.0,5.0,Optimal
6.0,6.0,1,-6.0,-5.0,-5.0,2.11,2.45,2.61,5.0,5.0,6.0,6.0,Optimal
5.0,5.0,0,-5.0,-6.0,-5.0,1.56,1.41,0.0,5.0,1.0,6.0,5.0,Optimal
5.0,3.0,1,-7.0,-7.0,-6.5,2.0,2.0,2.0,3.0,4.0,5.0,6.0,Optimal
6.0,2.0,1,-5.5,-6.0,-5.5,2.0,2.0,2.0,2.0,2.0,6.0,6.0,Optimal
6.0,6.0,1,-6.0,-5.5,-5.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,Optimal
6.0,6.0,1,-4.5,-6.0,-6.0,2.13,2.06,2.3,5.0,6.0,6.0,6.0,Optimal
5.0,4.0,1,-5.5,-5.5,-6.5,2.0,2.0,0.0,3.0,1.0,5.0,5.0,Optimal
5.0,5.0,1,-5.0,-5.5,-6.0,1.76,1.79,1.96,5.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-6.5,-3.5,-3.0,1.85,2.88,2.64,6.0,6.0,6.0,6.0,Optimal
5.0,3.0,1,-7.0,-4.0,-6.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,Optimal
4.0,1.0,0,-5.5,-5.0,-4.0,1.0,2.0,2.0,4.0,5.0,4.0,4.0,Optimal
6.0,3.0,1,-6.0,-5.5,-5.5,2.0,2.0,2.0,2.0,3.0,6.0,6.0,Optimal
6.0,2.0,1,-6.0,-6.0,-6.0,2.37,2.73,2.76,4.0,5.0,6.0,6.0,Optimal
6.0,1.0,1,-7.5,-7.0,-7.0,0.0,1.0,2.0,3.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-4.0,-4.0,-5.0,1.82,2.75,2.69,5.0,7.0,6.0,6.0,Optimal
6.0,4.0,1,-6.0,-6.0,-5.5,2.2,1.93,1.54,5.0,4.0,6.0,6.0,Optimal
6.0,6.0,1,-6.0,-6.0,-7.5,2.0,2.0,2.0,6.0,7.0,6.0,6.0,Optimal
6.0,5.0,1,-5.0,-5.0,-4.5,2.75,2.69,2.0,5.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-3.0,-5.0,-5.5,1.5,1.29,1.18,4.0,4.0,7.0,7.0,Optimal
4.0,4.0,0,-6.0,-5.6,-5.0,1.53,2.83,1.9,5.0,5.0,4.0,5.0,Optimal
6.0,4.0,1,-6.5,-6.0,-5.0,2.0,2.5,2.0,6.0,6.0,6.0,5.0,Optimal
4.0,4.0,1,-6.0,-6.5,-5.0,1.89,1.54,0.0,4.0,1.0,5.0,6.0,Optimal
6.0,5.0,1,-5.0,-5.0,-6.0,2.45,2.61,2.64,5.0,6.0,6.0,6.0,Optimal
5.0,5.0,0,-4.0,-3.5,-4.0,1.85,2.88,2.64,3.0,3.0,6.0,6.0,Optimal
6.0,1.0,1,-7.0,-6.0,-6.0,0.0,1.16,1.56,3.0,5.0,6.0,6.0,Optimal
6.0,4.0,1,-7.0,-5.0,-4.5,1.77,1.86,2.59,5.0,5.0,6.0,6.0,Optimal
6.0,3.0,1,-5.5,-6.0,-6.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,Optimal
6.0,7.0,1,-5.0,-3.5,-3.5,1.75,2.37,1.81,8.0,6.0,6.0,6.0,Optimal
6.0,5.0,1,-5.0,-3.5,-6.0,2.76,2.18,2.08,5.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-6.0,-5.5,-7.0,1.93,1.54,0.0,4.0,1.0,6.0,6.0,Optimal
6.0,8.0,1,-5.0,-6.0,-4.0,2.0,2.0,2.0,7.0,6.0,6.0,6.0,Optimal
6.0,3.0,1,-7.0,-7.0,-6.0,1.0,2.0,2.0,5.0,4.0,6.0,6.0,Optimal
5.0,5.0,0,-5.0,-4.0,-4.5,1.5,1.6,1.9,5.0,5.0,4.0,4.0,Optimal
4.0,4.0,1,-5.0,-6.0,-5.0,3.58,3.2,3.61,4.0,4.0,5.0,5.0,Optimal
4.0,4.0,0,-4.0,-4.0,-7.0,1.4,2.92,3.29,4.0,4.0,4.0,4.0,Optimal
6.0,4.0,1,-6.0,-6.5,-6.0,1.82,2.51,1.68,5.0,5.0,6.0,6.0,Optimal
6.0,5.0,1,-5.0,-4.5,-8.0,2.35,1.46,0.0,4.0,1.0,6.0,6.0,Optimal
7.0,1.0,0,-5.0,-5.0,-4.0,0.0,2.31,1.69,6.0,1.0,6.0,7.0,Optimal
6.0,6.0,1,-5.0,-5.0,-3.0,3.58,3.2,3.61,6.0,5.0,6.0,6.0,Optimal
5.0,4.0,1,-6.0,-5.0,-5.0,2.19,1.89,2.44,5.0,5.0,5.0,5.0,Optimal
5.0,3.0,1,-7.0,-8.0,-9.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,Optimal
3.0,1.0,0,-4.0,-3.0,-6.0,0.0,2.64,2.82,6.0,7.0,4.0,3.0,Optimal
5.0,3.0,1,-8.0,-8.0,-6.0,2.0,2.0,2.0,4.0,3.0,5.0,6.0,Optimal
6.0,7.0,1,-6.0,-5.800000000000001,-6.800000000000001,2.0,2.0,2.0,8.0,6.0,6.0,6.0,Optimal
6.0,1.0,0,0.0,-3.0,-3.0,2.58,2.32,1.69,1.0,6.0,6.0,5.0,Optimal
6.0,7.0,1,-4.5,-5.0,-3.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,Optimal
6.0,6.0,1,-6.0,-6.0,-6.5,2.0,2.0,2.0,6.0,1.0,6.0,6.0,Optimal
6.0,5.0,1,-5.0,-2.0,-3.5,1.72,2.58,1.8,8.0,6.0,6.0,6.0,Optimal
