pEffort,uaI,SleepInd,Sex_F,pEffort(MA6),SleepInd(MA6),uaI(MA6),Appetite(MA6),FatigInd
6.0,2.08,-5.0,1,4.678341327003208,-4.7133495888966115,2.2522524239165804,5.2979068095145045,Optimal
1.0,2.0,-6.529999999999999,1,4.206533599946193,-6.136978681079829,1.997464728139748,6.000012555873833,Optimal
1.0,0.0,-4.0,0,3.71243533486713,-3.5761471130519578,1.0995774898068549,4.884461087341466,Optimal
5.0,2.69,-6.0,1,4.685065901040721,-5.692757593406835,2.20120253943357,6.000000017035974,Optimal
7.0,2.03,-5.0,1,6.853001538221792,-5.523600265303571,1.9055259980098775,6.028800807834182,Optimal
3.0,1.4,-7.0,1,2.5409377421323467,-6.47908969899693,2.2907387771618195,5.397592193564368,Optimal
5.0,2.35,-7.0,0,4.622729609860221,-5.320095863058845,2.736609655025125,3.812466239454739,Optimal
5.0,2.21,-4.0,1,3.809549000926289,-4.038165194237358,2.1456147508764984,5.58389734664843,Optimal
6.0,2.33,-6.0,1,4.63420003569941,-5.059235522613877,1.9504655373186344,5.988525189334376,Optimal
6.0,2.45,-4.5,0,5.859687012658876,-3.6857693567300376,2.2750826811014675,3.92528435997715,Optimal
5.0,1.53,-6.0,1,4.73608491131144,-5.4085216133165614,1.868153718346048,5.912426276033677,Optimal
5.0,2.45,-7.0,1,6.353572213378465,-5.940612380256924,2.027309182658101,6.014694289711318,Optimal
2.0,3.67,-3.0,1,3.1572815162827146,-4.735714601616315,2.82371623006073,5.219698673462762,Optimal
5.0,1.56,-8.0,0,3.916105268992822,-7.139443924180228,0.8916573185864414,3.285106506767745,Optimal
3.0,1.0,-7.0,1,4.734770564091478,-7.065133235017295,1.638391079206468,6.000000015006736,Optimal
6.0,1.94,-7.0,0,5.333280302441748,-6.458583887718358,2.1642320009957112,3.951183423431575,Optimal
5.0,2.51,-6.5,1,5.055140009509774,-6.108501643561496,2.1097249758971124,5.999999967435813,Optimal
7.0,2.94,-4.0,1,6.697974525393824,-4.400781836495387,2.3457928242978463,5.98630359273369,Optimal
6.0,2.21,-3.5,0,4.982033807694178,-3.2858266321863643,2.1372178451312736,4.166567081352591,Optimal
7.0,1.75,-5.0,1,6.631648760400846,-3.9741440914596793,1.9224123977878431,5.9997584148510406,Optimal
6.0,1.86,-5.0,1,4.970165003844205,-4.815734209827445,1.1347005095347122,6.134666665964347,Optimal
4.0,2.81,-5.0,1,4.600356173195577,-5.514969802934141,2.5127649682905338,6.000000001154365,Optimal
6.0,2.0,-4.0,1,5.414809806940464,-4.340732643872624,2.1538697631219295,5.998975507571201,Optimal
4.0,1.82,-6.0,1,4.753671435364124,-6.077501173972498,2.0269464113550804,5.999999976739867,Optimal
8.0,2.25,-3.5,1,6.68887382496892,-5.15774381423285,2.04725047558083,5.999955081002529,Optimal
3.0,2.0,-8.0,1,3.095316555478764,-8.292139040630637,1.9968004232909344,5.1429596399464,Optimal
1.0,0.0,-5.0,1,3.4159082108122045,-5.258980528364033,1.6116312759917784,5.7833689734523395,Optimal
7.0,2.76,-4.6,0,5.315026908250394,-4.453133916805987,2.42309774475835,5.04681283545926,Optimal
5.0,2.45,-5.5,1,4.770243805002291,-4.938106849211866,2.3087517313689863,5.212790578224646,Optimal
5.0,2.19,-4.5,1,4.561128743534696,-4.6318195100646555,1.9127847147284984,6.003104389741795,Optimal
5.0,1.89,-5.0,0,4.86606698804488,-4.352107552412072,1.834895541819121,4.085164786715696,Optimal
3.0,2.74,-2.0,0,4.489174019876086,-3.6423412212005246,2.578016855446541,4.232199626498126,Optimal
7.0,1.0,-3.5,1,6.125545525329685,-4.375497332561322,2.0421095699344267,6.0147073928238175,Optimal
6.0,3.2,-5.0,1,4.824695690106518,-4.247310552767578,2.6273681238600934,6.056499920271975,Optimal
6.0,2.47,-3.8,1,5.175354446058132,-4.603813193429902,2.4393430476562363,5.999999999980143,Optimal
6.0,2.33,-4.0,0,4.809217851043306,-4.281687526740853,1.6018854805199598,4.329165707508007,Optimal
4.0,1.82,-4.5,1,4.229734816594179,-4.828007595199191,2.0711744438263544,6.019286342604994,Optimal
3.0,2.83,-5.699999999999999,1,2.9726530022458713,-5.942419382733245,1.930094920882785,5.0807462391156255,Optimal
1.0,0.0,-6.0,1,1.7862983754112678,-5.749021318706147,1.347536150500908,5.999999999982792,Optimal
1.0,0.0,-6.0,1,2.650735893313433,-5.872140323554201,1.274296798097755,5.604307437457287,Optimal
5.0,2.0,-8.0,1,3.99743341756244,-7.312367143339967,1.5476255484614565,6.000000000006537,Optimal
