Name,Date,Appetite,SleepInd,StSpirit,pEffort,uaI,uaI(-1),DeltaWt (%),DeltaHrtwo,FatigInd,Sex_F
275.0,1577491200,4.0,-6.0,3.0,1.0,0.0,1.0,-0.0017605633802817433,-6.0,Low/Minimal,0
274.0,1578441600,3.0,-5.5,3.0,5.0,2.44,1.89,-0.0035460992907800915,19.0,Low/Minimal,0
274.0,1577318400,4.0,-6.0,4.0,1.0,1.0,0.0,0.012499999999999956,12.0,Low/Minimal,0
275.0,1578096000,4.0,-5.0,3.0,2.0,1.16,1.56,0.0,-6.0,Low/Minimal,0
275.0,1576195200,4.0,-5.0,3.0,2.0,2.91,2.0,0.0017391304347826875,6.0,Low/Minimal,0
275.0,1576627200,4.0,-5.0,3.0,6.0,1.87,2.2,-0.012367491166077715,-12.0,Low/Minimal,0
274.0,1587081600,4.0,-5.5,5.0,4.0,2.0,2.0,-0.013651877133105783,6.0,Low/Minimal,0
274.0,1589068800,3.0,-3.5,5.0,1.0,0.0,2.0,0.006837606837606813,14.0,Low/Minimal,0
275.0,1579996800,6.0,-7.0,3.0,1.0,0.0,1.0,0.0,-6.0,Low/Minimal,0
274.0,1584835200,4.0,-5.0,5.0,3.0,2.0,2.0,-0.0068259385665528916,9.0,Low/Minimal,0
275.0,1577836800,3.0,-6.0,3.0,1.0,0.0,0.0,0.0,24.0,Low/Minimal,0
275.0,1577664000,3.0,-6.0,3.0,7.0,1.41,0.0,-0.012345679012345734,12.0,Low/Minimal,0
274.0,1576972800,5.0,-6.0,4.0,1.0,0.0,1.0,-0.0018115942028985588,4.0,Low/Minimal,0
275.0,1577750400,3.0,-7.5,3.0,1.0,0.0,1.41,0.0,6.0,Low/Minimal,0
274.0,1585872000,5.0,-4.5,5.0,5.0,2.0,2.0,0.005181347150259086,18.0,Low/Minimal,0
275.0,1576800000,4.0,-5.0,3.0,5.0,1.94,1.94,0.0,-12.0,Low/Minimal,0
275.0,1575590400,3.0,-6.0,4.0,1.0,0.0,1.53,0.0,6.0,Low/Minimal,0
275.0,1577404800,4.0,-6.0,3.0,3.0,1.0,0.0,0.0,-6.0,Low/Minimal,0
269.0,1584316800,6.0,-5.0,7.0,2.0,2.0,1.0,0.0,0.0,Low/Minimal,0
274.0,1588636800,4.0,-4.5,5.0,4.0,2.0,2.0,-0.0017152658662092923,20.0,Low/Minimal,0
274.0,1584921600,3.0,-5.0,5.0,4.0,2.0,2.0,0.010309278350515427,31.0,Low/Minimal,0
274.0,1587772800,4.0,-5.0,5.0,1.0,0.0,2.0,0.00521739130434784,0.0,Low/Minimal,0
275.0,1576368000,4.0,-6.0,4.0,2.0,3.06,3.67,0.0,0.0,Low/Minimal,0
274.0,1586649600,3.0,-5.0,5.0,3.0,1.0,2.0,0.013864818024263537,19.0,Low/Minimal,0
274.0,1586217600,4.0,-6.0,7.0,5.0,2.0,2.0,0.0034364261168384758,9.0,Low/Minimal,0
274.0,1587168000,3.0,-4.5,4.0,4.0,1.0,2.0,-0.0034602076124568004,10.0,Low/Minimal,0
274.0,1589241600,3.0,-5.0,5.0,5.0,2.0,2.0,0.0034129692832765013,15.0,Low/Minimal,0
269.0,1571529600,6.0,-6.0,5.0,1.0,0.0,1.78,0.0,0.0,Low/Minimal,0
274.0,1585180800,3.0,-5.5,5.0,4.0,2.0,2.0,0.0,29.0,Low/Minimal,0
274.0,1588982400,4.0,-5.0,5.0,5.0,2.0,2.0,-0.005102040816326481,10.0,Low/Minimal,0
275.0,1578700800,4.0,-6.0,3.0,7.0,1.89,2.19,0.0,-12.0,Low/Minimal,0
275.0,1578787200,4.0,-8.0,3.0,1.0,0.0,1.89,0.0,-30.0,Low/Minimal,0
274.0,1577836800,5.0,-5.0,4.0,1.0,0.0,0.0,0.0,16.0,Low/Minimal,0
274.0,1587427200,4.0,-5.0,5.0,5.0,2.0,2.0,0.0017271157167531026,17.0,Low/Minimal,0
275.0,1575417600,4.0,-5.0,3.0,6.0,2.83,1.9,0.0017421602787457413,6.0,Low/Minimal,0
